                                                                                                                                                                                                                                                                                                                                                                name,slug,category,price,subtitle,description,details,sensation,image_url,size,size_fl_oz,code,usage,ingredients,tips
Crazy Girl,crazy-girl,Fragancias,30.7,Aphrodisiac Eau Detoilette,"Una fragranza creata per le donne que emanano sicurezza e amano il gioco della seduzione. Un profumo fresco, seducente, sensuale e irresistibile","Note di Testa: lampone e limone di Amalfi Note di Cuore: gelsomino, fiore d'arancio africano e gardenia Note di Fondo: miele e ambra.",Irresistibile,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/fragancia.png,60 ml,2 fl oz,C51,,,
Hot Inevitable,hot-inevitable,Fragancias,37.8,Aphrodisiac Eau Detoilette,"Una collezione di fragranze irresistibili, dove ogni variante è un invito al desiderio: da quella fruttata e assuefacente, a quella floreale, intensa o misteriosa. Personalità diverse, un'unica intenzione: sedurre senza limiti.",Note di Testa: mango e bergamotto Note di Cuore: gelsomino e incenso di olibano Note di Fondo: vaniglia e sandalo.,Misterioso,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/fragancia.png,100 ml,3.4 fl oz,C01,,,
Hot Inevitable Privee,hot-inevitable-privee,Fragancias,37.8,Aphrodisiac Eau Detoilette,"Una collezione di fragranze irresistibili, dove ogni variante è un invito al desiderio: da quella fruttata e assuefacente, a quella floreale, intensa o misteriosa. Personalità diverse, un'unica intenzione: sedurre senza limiti.","Note di Testa: pera, pepe rosa e fiore d'arancio Note di Cuore: caffè, gelsomino, mandorla Note di Fondo: vaniglia e legno di cedro",Elegante,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/fragancia.png,100 ml,3.4 fl oz,C01V-1,,,
Hot Inevitable So Excited,hot-inevitable-so-excited,Fragancias,37.8,Aphrodisiac Eau Detoilette,"Una collezione di fragranze irresistibili, dove ogni variante è un invito al desiderio: da quella fruttata e assuefacente, a quella floreale, intensa o misteriosa. Personalità diverse, un'unica intenzione: sedurre senza limiti.","Note di Testa: peonia, peach e violetta Note di Cuore: gigli, giglio bianco, giacinto, gelsomino, fresia Note di Fondo: muschio, legno di cedro, ambra.",Vibrante,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/fragancia.png,100 ml,3.4 fl oz,C01V-2,,,
For Him,for-him,Fragancias,33.2,Aphrodisiac Eau Detoilette,"ISPIRATO A UN UOMO DISTINTO, MISTERIOSO E SENSUALE. Un ritratto olfattivo per l'amante sicuro di sé, capace di proiettare la forza iconica dell'attrazione sessuale","Note di Testa: mela verde, lavanda Note di Fondo: abete, legno di cedro",Sicuro,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/fragancia.png,100 ml,3.4 fl oz,FH,,,
For Him Vip,for-him-vip,Fragancias,33.2,Aphrodisiac Eau Detoilette,"IL PROFUMO DELLA SEDUZIONE Una fragranza dallo spirito audace, intenso e irresistibile","Note di Testa: limone, zenzero e menta. Note di Fondo: Fava Tonka e Amberwood.",Audace,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/fragancia.png,100 ml,3.4 fl oz,FH02,,,
Inevitable Men Aphrodisiac,inevitable-men-aphrodisiac,Fragancias,33.2,Aphrodisiac Eau Detoilette,Niente è più intenso di Inevitable,"Note di Testa: pompelmo, cardamomo e coriandolo Nota di Cuore: assenzio, geranio, artemisia e mango Nota di Fondo: vetiver, legno di guaiaco e fava tonka",Intenso,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/fragancia.png,100 ml,3.4 fl oz,IN01,,,
Inevitable Men Vip Aphrodisiac,inevitable-men-vip-aphrodisiac,Fragancias,33.2,Aphrodisiac Eau Detoilette,Niente è più intenso di Inevitable,"Nota di Testa: incenso di Kyara Note di Cuore: ambra e fava tonka Note di Fondo: vaniglia, cuoio e note legnose.",Misterioso,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/fragancia.png,100 ml,3.4 fl oz,IN02,,,
Hi! Sex,hi-sex,Afrodisiacos,35.9,Afrodisiaco,"È un afrodisiaco naturale, ma anche un invito a riconnetterti con la tua essenza, a risvegliare il tuo desiderio e a vivere la tua intimità in modo pieno e consapevole. La sua formula combina il potere di ingredienti millenari que rivitalizzano il corpo, potenziano l'energia e migliorano le prestazioni sessuali",AUMENTA IL TUO DESIDERIO SESSUALE: 2 capsule al giorno,Vitalizzante,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/afrodisiaco.png,60 CAPS,,HSX-AE- 001,,,
Hi! Sex,hi-sex,Afrodisiacos,69.7,Afrodisiaco,"È un afrodisiaco naturale, ma anche un invito a riconnetterti con la tua essenza, a risvegliare il tuo desiderio e a vivere la tua intimità in modo pieno e consapevole. La sua formula combina il potere di ingredienti millenari que rivitalizzano il corpo, potenziano l'energia e migliorano le prestazioni sessuali",,Vitalizzante,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/afrodisiaco.png,40 CAPS + ESPOSITORE,,HSX-AE- 003,,,
Black Dragon,black-dragon,Afrodisiacos,25.2,Crema Intensificante,"L'esclusiva formula di Sexitive, sviluppata con estratti naturali, favorisce una maggiore eccitazione e intensifica la risposta sessuale. Inizia con una sensazione calda e delicata que poi si intensifica profondamente","L'esclusiva formula di Sexitive, sviluppata con estratti naturali, favorisce una maggiore eccitazione e intensifica la risposta sessuale. Inizia con una sensazione calda e delicata que poi si intensifica profondamente",Calore,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/afrodisiaco.png,50 ml,1.7 fl oz,DRN02,,,
More Sex - Berries,more-sex-berries,Lubricantes,21.9,Goditi Un Delizioso Sesso Orale Con Una Sensazione Unica.,Dimostra al partner que hai buon gusto. Questo lubrificante è stato creato per aggiungere sapore e migliorare il sesso orale.,FRUTTI DI BOSCO,Dolce,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/lubricante.png,50 ml,1.7 fl oz,MMSB,,,
More Sex - Chocolate,more-sex-chocolate,Lubricantes,21.9,Goditi Un Delizioso Sesso Orale Con Una Sensazione Unica.,Dimostra al partner que hai buon gusto. Questo lubrificante è stato creato per aggiungere sapore e migliorare il sesso orale.,CHOCOLATE,Dolce,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/lubricante.png,50 ml,1.7 fl oz,MMSC,,,
Mine My Pleasure,mine-my-pleasure,Lubricantes,15,Gel Lubrificante Con L-arginina,"Gel lubrificante con L-Arginina, un amminoacido di origine naturale con capacità vasodilatatrice, specificamente formulato per aumentare l'eccitazione e la sensibilità del clitoride, favorendo orgasmi più intensi e veloci.",,Intenso,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/lubricante.png,50 ml,1.7 fl oz,MMP,,,
Diva's Secret - Effetto Calore,diva-s-secret-effetto-calore,Lubricantes,16.4,"Una Combinazione Unica Di Componenti Que Stimolano, Aumentano Il Desiderio E Aiutano A Intensificare Gli Orgasmi.","Una volta applicato, genera un aumento della temperatura, massimizzando il piacere.","Una combinazione unica di componenti que stimolano, aumentano il desiderio e aiutano a intensificare gli orgasmi.",Calore,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/lubricante.png,30 ml,1 fl oz,DVS01,,,
Diva's Secret - Effetto Stringente ,diva-s-secret-effetto-stringente,Lubricantes,18.7,"Una Combinazione Unica Di Componenti Que Stimolano, Aumentano Il Desiderio E Aiutano A Intensificare Gli Orgasmi.","Una volta applicato, regala un'immediata sensazione di avvolgente compattezza, intensificando il piacere con il suo effetto stringente.","Una combinazione unica di componenti que stimolano, aumentano il desiderio e aiutano a intensificare gli orgasmi.",Stringente,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/lubricante.png,30 ml,1 fl oz,DVS02,,,
Sens Bomb Maca,sens-bomb-maca,Lubricantes,13.9,Gel Intimo Con Estratti Natural,"Tutto il potere afrodisiaco della Maca concentrato in dieses gel intimo femminile, que offre un'azione rinvigorente aumentando il desiderio sessuale.","I gel Sens Bomb, con il loro effetto calore, offrono una stimolante sensazione di relax que risveglia il desiderio sessuale.",Calore,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/lubricante.png,70 ml,2.5 fl oz,,,,
Sens Bomb Sandalo,sens-bomb-sandalo,Lubricantes,13.9,Gel Intimo Con Estratti Natural,Formulato con il potere stimolante e afrodisiaco del Sandalo. Progettato per aiutare a intensificare le sensazioni. Offre uno stimolante effetto di rilassamento que risveglia il desiderio.,"I gel Sens Bomb, con il loro effetto calore, offrono una stimolante sensazione di relax que risveglia il desiderio sessuale.",Rilassante,https://hkedgklpsksezxxymdgc.supabase.co/storage/v1/object/public/images/lubricante.png,70 ml,2.5 fl oz,,,,
